Component_,Name,Value
C__C9C0F929F93A494FB3E68DC54EB17AED.6492B5CA1425435EB4E109C1192F04D7,PublicKeyToken,CC4967777C49A3FF
C__CAF8F581356D49C9963912817A38E6D1.6492B5CA1425435EB4E109C1192F04D7,Name,ActiveReports.TextExport
C__CAF8F581356D49C9963912817A38E6D1.6492B5CA1425435EB4E109C1192F04D7,Version,3.4.0.2027
C__CAF8F581356D49C9963912817A38E6D1.6492B5CA1425435EB4E109C1192F04D7,Culture,neutral
C__CAF8F581356D49C9963912817A38E6D1.6492B5CA1425435EB4E109C1192F04D7,PublicKeyToken,CC4967777C49A3FF
C__CD415B4291D14389A21AD0109160D54D.6492B5CA1425435EB4E109C1192F04D7,Name,ActiveReports.Interop
C__CD415B4291D14389A21AD0109160D54D.6492B5CA1425435EB4E109C1192F04D7,Version,3.4.0.2027
C__CD415B4291D14389A21AD0109160D54D.6492B5CA1425435EB4E109C1192F04D7,Culture,neutral
C__CD415B4291D14389A21AD0109160D54D.6492B5CA1425435EB4E109C1192F04D7,PublicKeyToken,CC4967777C49A3FF
C__E2A0D21B66814927A7D1D5C1536AA699.6492B5CA1425435EB4E109C1192F04D7,Name,ActiveReports
C__E2A0D21B66814927A7D1D5C1536AA699.6492B5CA1425435EB4E109C1192F04D7,Version,3.4.0.2027
C__E2A0D21B66814927A7D1D5C1536AA699.6492B5CA1425435EB4E109C1192F04D7,Culture,neutral
C__E2A0D21B66814927A7D1D5C1536AA699.6492B5CA1425435EB4E109C1192F04D7,PublicKeyToken,CC4967777C49A3FF
MSXML4_Parser.2E8D8EBB_CC16_45E1_BBCA_CB1ED881EDB7,Name,Microsoft.MSXML2
MSXML4_Parser.2E8D8EBB_CC16_45E1_BBCA_CB1ED881EDB7,publicKeyToken,6bd6b9abf345378f
MSXML4_Parser.2E8D8EBB_CC16_45E1_BBCA_CB1ED881EDB7,version,4.20.9818.0
MSXML4_Parser.2E8D8EBB_CC16_45E1_BBCA_CB1ED881EDB7,type,win32
MSXML4_Parser.2E8D8EBB_CC16_45E1_BBCA_CB1ED881EDB7,processorArchitecture,x86
MSXML4_Unicode.2E8D8EBB_CC16_45E1_BBCA_CB1ED881EDB7,Name,Microsoft.MSXML2R
MSXML4_Unicode.2E8D8EBB_CC16_45E1_BBCA_CB1ED881EDB7,publicKeyToken,6bd6b9abf345378f
MSXML4_Unicode.2E8D8EBB_CC16_45E1_BBCA_CB1ED881EDB7,version,4.1.0.0
MSXML4_Unicode.2E8D8EBB_CC16_45E1_BBCA_CB1ED881EDB7,type,win32
MSXML4_Unicode.2E8D8EBB_CC16_45E1_BBCA_CB1ED881EDB7,processorArchitecture,x86
uplevel.98CB24AD_52FB_DB5F_FF1F_C8B3B9A1E18E,publicKeyToken,1fc8b3b9a1e18e3b
uplevel.98CB24AD_52FB_DB5F_FF1F_C8B3B9A1E18E,version,8.0.50727.762
uplevel.98CB24AD_52FB_DB5F_FF1F_C8B3B9A1E18E,type,win32
uplevel.98CB24AD_52FB_DB5F_FF1F_C8B3B9A1E18E,processorArchitecture,x86
uplevel.98CB24AD_52FB_DB5F_FF1F_C8B3B9A1E18E,name,Microsoft.VC80.CRT
